Date,Open,High,Low,Close
03/25/2020,"54.30","54.75","54.00","54.45"
03/24/2020,"50.45","52.00","50.45","53.10"
03/23/2020,"50.00","50.00","50.00","50.15"
03/20/2020,"50.20","50.20","50.20","50.20"
03/19/2020,"50.05","50.05","49.75","49.45"
03/18/2020,"49.80","50.00","49.80","50.30"
03/17/2020,"49.25","49.75","49.00","49.60"
03/16/2020,"48.55","49.00","48.55","48.55"
03/13/2020,"48.40","48.40","48.40","48.25"
03/12/2020,"47.50","47.60","47.50","47.20"
03/11/2020,"47.30","48.00","47.30","47.70"
03/10/2020,"47.45","48.00","47.10","47.75"
03/09/2020,"47.25","47.25","47.25","47.25"
03/06/2020,"48.20","48.20","48.10","47.95"
03/05/2020,"48.50","48.75","48.40","48.65"
03/04/2020,"47.50","48.20","47.50","48.05"
03/03/2020,"47.95","47.95","47.80","47.80"
03/02/2020,"47.50","47.85","47.40","47.70"
02/28/2020,"47.80","47.80","47.80","47.80"
02/27/2020,"47.90","47.90","47.90","47.90"
02/26/2020,"48.00","48.00","48.00","48.00"
02/25/2020,"48.15","48.15","48.15","48.15"
02/24/2020,"48.00","48.00","48.00","48.00"
02/21/2020,"48.30","48.30","48.30","48.30"
02/20/2020,"48.45","48.45","48.45","48.40"
02/19/2020,"49.30","49.30","49.30","49.30"
02/18/2020,"49.70","49.70","49.70","49.70"
02/17/2020,"50.40","50.40","50.40","50.55"
02/14/2020,"50.25","50.30","50.25","50.30"
02/13/2020,"49.70","50.00","49.70","49.90"
02/12/2020,"48.50","48.75","48.50","48.75"
02/11/2020,"48.00","48.00","48.00","48.00"
02/10/2020,"47.80","47.80","47.80","47.50"
02/07/2020,"48.65","48.65","48.15","48.20"
02/06/2020,"48.75","48.75","48.75","48.90"
02/05/2020,"49.25","50.05","49.25","49.45"
02/04/2020,"48.00","48.20","48.00","48.90"
02/03/2020,"47.80","47.80","47.40","47.70"
01/31/2020,"47.50","48.15","47.45","48.10"
01/30/2020,"48.25","48.25","48.25","47.85"
01/29/2020,"49.50","49.50","49.40","49.00"
01/28/2020,"50.25","50.50","50.00","50.25"
01/27/2020,"49.50","50.10","49.10","50.10"
01/24/2020,"50.00","50.15","49.60","49.75"
01/23/2020,"49.50","49.90","49.50","50.25"
01/22/2020,"49.50","49.55","49.40","49.45"
01/21/2020,"49.00","49.60","49.00","49.45"
