,price
2007-02-25,21.798683318121675
2007-03-04,21.70786607353702
2007-03-11,21.79757704966523
2007-03-18,21.60463890771217
2007-03-25,21.496133634380275
2007-04-01,21.48650218498613
2007-04-08,21.417065489369634
2007-04-15,21.255745238419205
2007-04-22,21.073218643020507
2007-04-29,21.02508698107772
2007-05-06,19.666856844334067
2007-05-13,19.750302424890517
2007-05-20,19.76798114204337
2007-05-27,19.862127443272037
2007-06-03,19.86555147627705
2007-06-10,19.887033486248857
2007-06-17,20.059423571254133
2007-06-24,19.90547356968179
2007-07-01,19.82385094972931
2007-07-08,19.63771802403688
2007-07-15,19.446360024019196
2007-07-22,19.3682462963763
2007-07-29,19.467155518088322
2007-08-05,19.441520986258638
2007-08-12,19.365048847068383
2007-08-19,19.69317342747033
2007-08-26,19.607519899011532
2007-09-02,19.44704143522366
2007-09-09,19.471768761757428
2007-09-16,19.185731197206845
2007-09-23,19.006862812551553
2007-09-30,18.782500891977815
2007-10-07,18.773829817676187
2007-10-14,18.796524184695166
2007-10-21,18.655363114780283
2007-10-28,18.586383541309623
2007-11-04,19.70088244125161
2007-11-11,19.952933338151404
2007-11-18,19.951284335320615
2007-11-25,19.7527254947591
2007-12-02,19.756860874220525
2007-12-09,19.92229616006445
2007-12-16,19.991513224495566
2007-12-23,20.30689500997649
2007-12-30,20.08857527798589
2008-01-06,19.837758040411106
2008-01-13,19.822208460652003
2008-01-20,19.795892270764817
2008-01-27,19.981224493130014
2008-02-03,21.923165683131515
2008-02-10,23.992392533169156
2008-02-17,23.97547160193573
2008-02-24,23.74383195834293
2008-03-02,23.284583625838007
2008-03-09,22.88867192702366
2008-03-16,22.618145780395828
2008-03-23,22.522381488370286
2008-03-30,22.32675344638908
2008-04-06,22.341971643344753
2008-04-13,22.202058262466895
2008-04-20,22.131756772509025
2008-04-27,22.236073155425178
2008-05-04,25.1412922264359
2008-05-11,26.2841738043316
2008-05-18,26.242479426845172
2008-05-25,25.851420094144487
2008-06-01,26.017382005553134
2008-06-08,26.131281178146057
2008-06-15,26.259434943160862
2008-06-22,26.139104784151886
2008-06-29,25.91952966266866
2008-07-06,25.78287494089926
2008-07-13,25.777460602650088
2008-07-20,25.601708246655058
2008-07-27,25.74694130767538
2008-08-03,29.06579755636496
2008-08-10,31.994248238784845
2008-08-17,33.00802423291702
2008-08-24,33.186569043780466
2008-08-31,33.265463544121715
2008-09-07,34.02760402273419
2008-09-14,34.79260963732252
2008-09-21,34.351443366351525
2008-09-28,33.42614508140228
2008-10-05,34.957414565936084
2008-10-12,35.947221669073095
2008-10-19,36.20837972494304
2008-10-26,38.109616089496114
2008-11-02,40.42124757543854
2008-11-09,42.7293912495944
2008-11-16,43.13329826504465
2008-11-23,43.33665280488406
2008-11-30,42.70676677474318
2008-12-07,43.21513797569002
2008-12-14,41.66995338265644
2008-12-21,39.18680338767545
2008-12-28,39.0554588285404
2009-01-04,39.12859058425606
2009-01-11,40.205266646252916
2009-01-18,41.26815760567159
2009-01-25,42.33568084378135
2009-02-01,42.06346627082173
2009-02-08,42.68431800670879
2009-02-15,42.41538574181323
2009-02-22,43.25020444307459
2009-03-01,41.765414253589256
2009-03-08,39.1437766263794
2009-03-15,38.562881204762284
2009-03-22,37.007050729409286
2009-03-29,36.75097683933945
2009-04-05,30.437349416006466
2009-04-12,29.435870823965523
2009-04-19,29.750054513983685
2009-04-26,29.914394474006265
2009-05-03,25.409294575208342
2009-05-10,21.94950219109716
2009-05-17,21.62328774276051
2009-05-24,21.29353605794853
2009-05-31,20.967973595181512
2009-06-07,20.68796252850092
2009-06-14,20.98045660777512
2009-06-21,21.112116289540158
2009-06-28,20.941218896630257
2009-07-05,20.882954061071135
2009-07-12,21.06587864600737
2009-07-19,20.863743650116128
2009-07-26,20.63583181351047
2009-08-02,18.862457770332473
2009-08-09,16.13119923372148
2009-08-16,16.264858767002725
2009-08-23,16.297436371977824
2009-08-30,16.173235746766398
2009-09-06,14.771801212878188
2009-09-13,14.521589225595175
2009-09-20,14.377259511069955
2009-09-27,14.33133557621092
2009-10-04,14.47279258510258
2009-10-11,14.324892053019992
2009-10-18,14.195881648954085
2009-10-25,14.075566635295145
2009-11-01,14.389763755969097
2009-11-08,14.864544607220283
2009-11-15,14.740837803084816
2009-11-22,14.798596064320352
2009-11-29,14.694189557351777
2009-12-06,14.601200183021168
2009-12-13,14.90936066824368
2009-12-20,15.239030424098692
2009-12-27,15.327096902515539
2010-01-03,15.283608593307024
2010-01-10,15.359417433914475
2010-01-17,15.226553266415118
2010-01-24,15.523134511707527
2010-01-31,16.085672247178476
2010-02-07,18.738312448422736
2010-02-14,18.961931167289205
2010-02-21,19.0621428733077
2010-02-28,19.09325457922433
2010-03-07,19.057397428267574
2010-03-14,18.927868204248025
2010-03-21,18.98606501672472
2010-03-28,19.339214952129872
2010-04-04,19.223697711655255
2010-04-11,19.357786600299793
2010-04-18,19.09661788010323
2010-04-25,19.376383794632684
2010-05-02,20.31607806702913
2010-05-09,22.111623530605367
2010-05-16,22.560593628387668
2010-05-23,22.95899622378704
2010-05-30,23.110908665479425
2010-06-06,22.08286464545944
2010-06-13,22.289411750934732
2010-06-20,21.791333382644655
2010-06-27,21.841547330004875
2010-07-04,22.035774522490012
2010-07-11,21.81527585061141
2010-07-18,21.472984456820974
2010-07-25,21.352857042435915
2010-08-01,21.444466233283585
2010-08-08,21.96536726530382
2010-08-15,22.362869173251095
2010-08-22,22.624057519310693
2010-08-29,22.819645081313006
2010-09-05,22.83687909089729
2010-09-12,22.94694060063074
2010-09-19,22.520625067951187
2010-09-26,21.984747346585994
2010-10-03,21.34981918580238
2010-10-10,20.9206351779006
2010-10-17,20.673171252138268
2010-10-24,20.812678199415547
2010-10-31,20.921350107627518
2010-11-07,20.961553494850158
2010-11-14,21.39394402393956
2010-11-21,21.634895783560257
2010-11-28,22.079217861890715
2010-12-05,22.550551808578778
2010-12-12,22.420895584920768
2010-12-19,22.351051678315905
2010-12-26,22.66841082398789
2011-01-02,22.433055537962225
2011-01-09,22.679850009727172
2011-01-16,22.65232071943513
2011-01-23,22.130819948490707
2011-01-30,21.79024752482516
2011-02-06,22.892137558531594
2011-02-13,23.103236891933715
2011-02-20,23.130286592010552
2011-02-27,22.835395678550068
2011-03-06,22.462780864343923
2011-03-13,22.509368907597857
2011-03-20,22.23730114078658
2011-03-27,22.048437815295696
2011-04-03,22.064793341571832
2011-04-10,21.742152495716926
2011-04-17,21.535957748888666
2011-04-24,21.478165035691575
2011-05-01,21.6971436374345
2011-05-08,23.30343415960792
2011-05-15,23.93217549311641
2011-05-22,24.073115288474202
2011-05-29,24.16535985798458
2011-06-05,23.70243364892229
2011-06-12,23.480568366715882
2011-06-19,23.935872938221895
2011-06-26,23.962889968223347
2011-07-03,23.715391220096283
2011-07-10,23.82620948522825
2011-07-17,24.189414022607657
2011-07-24,23.933071452564185
2011-07-31,24.21588354315258
2011-08-07,26.86541533668597
2011-08-14,26.81819577380684
2011-08-21,26.573431953473754
2011-08-28,26.502656390890163
2011-09-04,26.495289454288955
2011-09-11,27.147781038826178
2011-09-18,27.61211946664278
2011-09-25,28.015986829143326
2011-10-02,27.98222043744416
2011-10-09,28.407816534014696
2011-10-16,27.610235682720344
2011-10-23,27.504408404747668
2011-10-30,27.01945674940973
2011-11-06,29.9664365792414
2011-11-13,30.215784051727812
2011-11-20,30.4851824979982
2011-11-27,30.957677103406752
2011-12-04,30.56775972738442
2011-12-11,30.615662441848723
2011-12-18,31.33154343155146
2011-12-25,31.416297282895414
2012-01-01,31.6505827381364
2012-01-08,32.11987598837829
2012-01-15,32.38959894469219
2012-01-22,32.17319041653759
2012-01-29,31.598437432258375
2012-02-05,31.917282918701122
2012-02-12,31.913737725115904
2012-02-19,32.0212604491202
2012-02-26,31.581809578209523
2012-03-04,31.38255941781419
2012-03-11,31.619905008850164
2012-03-18,31.849249671160106
2012-03-25,31.565850399602205
2012-04-01,31.500042432252712
2012-04-08,32.463672056793534
2012-04-15,32.51035855302804
2012-04-22,32.510557268995065
2012-04-29,32.338045583126856
2012-05-06,32.60680309164411
2012-05-13,33.065365588130916
2012-05-20,33.62585500258009
2012-05-27,33.975767076697764
2012-06-03,34.55295496479003
2012-06-10,34.37199478449068
2012-06-17,34.1531587394151
2012-06-24,34.03021899477926
2012-07-01,34.25518320275724
2012-07-08,34.37161722186154
2012-07-15,35.05863860701782
2012-07-22,35.05518654365965
2012-07-29,35.0734760249747
2012-08-05,32.10941024095752
2012-08-12,31.519552378552984
2012-08-19,31.511965504253872
2012-08-26,31.154714974062244
2012-09-02,30.911070424105947
2012-09-09,30.77443222787681
2012-09-16,30.03925334226391
2012-09-23,29.902459898165244
2012-09-30,30.12744218203224
2012-10-07,29.979149635433355
2012-10-14,29.992127033036606
2012-10-21,29.75208124276836
2012-10-28,29.959810777317415
2012-11-04,30.434457902315103
2012-11-11,31.001685959222293
2012-11-18,30.999011531428227
2012-11-25,30.70747887880692
2012-12-02,30.52471245941008
2012-12-09,30.55270950519258
2012-12-16,30.45761290722092
2012-12-23,30.052459746974137
2012-12-30,30.066575824379488
2013-01-06,30.29117099237487
2013-01-13,30.183452440130356
2013-01-20,29.803543123068412
2013-01-27,29.66400467770751
2013-02-03,28.939530410227157
2013-02-10,28.858451193745214
2013-02-17,29.06234724872071
2013-02-24,29.312205415783183
2013-03-03,29.65440237867433
2013-03-10,29.700901188807453
2013-03-17,29.74454445283141
2013-03-24,29.957807739735436
2013-03-31,30.221180154961854
2013-04-07,30.10769839826205
2013-04-14,29.678744610435395
2013-04-21,29.580049938156943
2013-04-28,29.781031420965206
2013-05-05,30.1850042451141
2013-05-12,30.400618215255207
2013-05-19,30.785292864561963
2013-05-26,30.77283635119718
2013-06-02,30.363703587011607
2013-06-09,29.603330231988682
2013-06-16,29.309610609481727
2013-06-23,29.35068809796346
2013-06-30,29.745915506432574
2013-07-07,29.828600188953967
2013-07-14,29.823056411440636
2013-07-21,29.47634630786089
2013-07-28,29.206949288209014
2013-08-04,28.548747035049267
2013-08-11,28.10304342208622
2013-08-18,28.160534168580835
2013-08-25,28.046579664213848
2013-09-01,28.18764723806397
2013-09-08,28.4486417668444
2013-09-15,28.21154037000273
2013-09-22,27.830364586082247
2013-09-29,27.699049930521003
2013-10-06,27.571327562462226
2013-10-13,27.5868845574943
2013-10-20,27.460559754444894
2013-10-27,27.204180012501812
2013-11-03,27.381104103474936
2013-11-10,27.721442687440142
2013-11-17,27.755917649352575
2013-11-24,27.604728240620496
2013-12-01,27.478290666833765
2013-12-08,27.474215744845566
2013-12-15,27.21348648601719
2013-12-22,27.295799825104304
2013-12-29,27.21370507402612
2014-01-05,27.354908606241672
2014-01-12,27.570275790471516
2014-01-19,27.5512838750174
2014-01-26,27.52803902376407
2014-02-02,27.523549296440684
2014-02-09,27.469537230278917
2014-02-16,27.209575892453532
2014-02-23,27.11889351171254
2014-03-02,26.95845569479917
2014-03-09,26.75229061311677
2014-03-16,26.609407417625643
2014-03-23,26.716823124684858
2014-03-30,26.836545372790088
2014-04-06,26.529771271455893
2014-04-13,26.384658878967794
2014-04-20,26.352676404093614
2014-04-27,26.371971544151133
2014-05-04,26.50597688232008
2014-05-11,26.55825655319264
2014-05-18,26.86433639691336
2014-05-25,26.943851198791503
2014-06-01,26.93151159244757
2014-06-08,26.645835113405703
2014-06-15,26.798683374608938
2014-06-22,26.73806192423667
2014-06-29,26.668394983933158
2014-07-06,26.335489647160745
2014-07-13,26.40141690828513
2014-07-20,26.485436712832097
2014-07-27,26.658372538244425
2014-08-03,25.1494301768939
2014-08-10,23.96639212644774
2014-08-17,23.97967270083343
2014-08-24,24.12032540700374
2014-08-31,24.68424795690993
2014-09-07,27.168819026415495
2014-09-14,27.395495643661885
2014-09-21,27.473185645675603
2014-09-28,27.710972877505608
2014-10-05,28.10334092411706
2014-10-12,28.0706940998163
2014-10-19,27.8461166236832
2014-10-26,27.95050199220601
2014-11-02,28.122545328076114
2014-11-09,28.4927980086427
2014-11-16,28.506056582947394
2014-11-23,28.43824536290805
2014-11-30,28.380724179419328
2014-12-07,28.01579105438935
2014-12-14,27.959291411516055
2014-12-21,28.045610959779726
2014-12-28,28.36045572688408
2015-01-04,29.213446335974634
2015-01-11,30.120907489085578
2015-01-18,30.502846228088803
2015-01-25,31.213544403368093
2015-02-01,30.726143843318447
2015-02-08,28.405494179385908
2015-02-15,28.593629517104382
2015-02-22,28.550992103151398
2015-03-01,28.537462859122364
2015-03-08,28.6420596624819
2015-03-15,29.784946534938985
2015-03-22,29.67096792821852
2015-03-29,29.048661842469922
2015-04-05,29.320408406726663
2015-04-12,29.580858958351786
2015-04-19,29.64910875673407
2015-04-26,29.425294105689368
2015-05-03,25.292611882790762
2015-05-10,22.495380950013033
2015-05-17,22.34289884663006
2015-05-24,22.54061836983643
2015-05-31,23.04267256184686
2015-06-07,22.548291685112222
2015-06-14,22.401306025701746
2015-06-21,22.279520647722315
2015-06-28,22.40382047830556
2015-07-05,22.449179893998572
2015-07-12,22.47892620084782
2015-07-19,22.75665517248345
2015-07-26,22.811417017280064
2015-08-02,21.826894728251286
2015-08-09,20.85252514805023
2015-08-16,20.510973632897464
2015-08-23,20.397647490767582
2015-08-30,20.07278750934319
2015-09-06,20.30365218828282
2015-09-13,20.281255947527963
2015-09-20,20.02971356561781
2015-09-27,20.329508822318626
2015-10-04,19.968391238265365
2015-10-11,19.606136963638562
2015-10-18,19.45561915894236
2015-10-25,19.718190077153277
2015-11-01,19.671205862357432
2015-11-08,18.785285226914908
2015-11-15,19.083715218133424
2015-11-22,19.188503759388336
2015-11-29,19.341114459425686
2015-12-06,18.655561269922153
2015-12-13,18.34750555351336
2015-12-20,18.387023159546377
2015-12-27,18.32133413940864
2016-01-03,18.247006923058148
2016-01-10,18.29922658772236
2016-01-17,18.217717351760154
2016-01-24,18.26356943810961
2016-01-31,17.889661502573045
2016-02-07,15.680023996190291
2016-02-14,15.435503822574324
2016-02-21,15.61588260670644
2016-02-28,15.777875911662838
2016-03-06,14.970001203594816
2016-03-13,14.843550926900049
2016-03-20,14.58662816625637
2016-03-27,14.617440564330508
2016-04-03,13.223968631043235
2016-04-10,12.282456995835416
2016-04-17,12.336684134366132
2016-04-24,12.339112424479882
2016-05-01,12.240681178901886
2016-05-08,11.959540751626587
2016-05-15,12.060757622234101
2016-05-22,12.189079949435325
2016-05-29,12.278356296833053
2016-06-05,12.212945035878759
2016-06-12,12.013321826231039
2016-06-19,12.115814653129107
2016-06-26,12.139524139475187
2016-07-03,12.358151068998012
2016-07-10,12.428189053015853
2016-07-17,12.410468165489482
2016-07-24,12.50622783094987
2016-07-31,12.581660448151249
2016-08-07,13.14029387238932
2016-08-14,13.171570843930464
2016-08-21,12.992722339522627
2016-08-28,12.988734203650424
2016-09-04,13.025503441234576
