Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=120.EXR.D.USD.EUR.SP00.A
,EXR.D.USD.EUR.SP00.A
,"ECB reference exchange rate, US dollar/Euro, 2:15 pm (C.E.T.)"
Collection:,Average of observations through period (A)
Period\Unit:,[US dollar ]
date,value,status
2009-11-18,1.4957,Normal value (A)
2009-11-17,1.4875,Normal value (A)
2009-11-16,1.4965,Normal value (A)
2009-11-13,1.4868,Normal value (A)
2009-11-12,1.4922,Normal value (A)
2009-11-11,1.5037,Normal value (A)
2009-11-10,1.4966,Normal value (A)
2009-11-09,1.4984,Normal value (A)
2009-11-06,1.4862,Normal value (A)
2009-11-05,1.4867,Normal value (A)
2009-11-04,1.4761,Normal value (A)
2009-11-03,1.4658,Normal value (A)
2009-11-02,1.4772,Normal value (A)
2009-10-30,1.4800,Normal value (A)
2009-10-29,1.4788,Normal value (A)
2009-10-28,1.4785,Normal value (A)
2009-10-27,1.4874,Normal value (A)
2009-10-26,1.5019,Normal value (A)
2009-10-23,1.5020,Normal value (A)
2009-10-22,1.5000,Normal value (A)
2009-10-21,1.4921,Normal value (A)
2009-10-20,1.4971,Normal value (A)
2009-10-19,1.4918,Normal value (A)
2009-10-16,1.4869,Normal value (A)
2009-10-15,1.4864,Normal value (A)
2009-10-14,1.4881,Normal value (A)
2009-10-13,1.4864,Normal value (A)
2009-10-12,1.4765,Normal value (A)
2009-10-09,1.4750,Normal value (A)
2009-10-08,1.4763,Normal value (A)
2009-10-07,1.4694,Normal value (A)
2009-10-06,1.4722,Normal value (A)
2009-10-05,1.4616,Normal value (A)
2009-10-02,1.4537,Normal value (A)
2009-10-01,1.4539,Normal value (A)
2009-09-30,1.4643,Normal value (A)
2009-09-29,1.4549,Normal value (A)
2009-09-28,1.4650,Normal value (A)
2009-09-25,1.4670,Normal value (A)
2009-09-24,1.4768,Normal value (A)
2009-09-23,1.4783,Normal value (A)
2009-09-22,1.4780,Normal value (A)
2009-09-21,1.4658,Normal value (A)
2009-09-18,1.4705,Normal value (A)
2009-09-17,1.4712,Normal value (A)
2009-09-16,1.4671,Normal value (A)
2009-09-15,1.4611,Normal value (A)
2009-09-14,1.4561,Normal value (A)
2009-09-11,1.4594,Normal value (A)
2009-09-10,1.4545,Normal value (A)
2009-09-09,1.4522,Normal value (A)
2009-09-08,1.4473,Normal value (A)
2009-09-07,1.4330,Normal value (A)
2009-09-04,1.4262,Normal value (A)
2009-09-03,1.4335,Normal value (A)
2009-09-02,1.4220,Normal value (A)
2009-09-01,1.4314,Normal value (A)
2009-08-31,1.4272,Normal value (A)
2009-08-28,1.4364,Normal value (A)
2009-08-27,1.4268,Normal value (A)
2009-08-26,1.4270,Normal value (A)
2009-08-25,1.4324,Normal value (A)
2009-08-24,1.4323,Normal value (A)
2009-08-21,1.4330,Normal value (A)
2009-08-20,1.4243,Normal value (A)
2009-08-19,1.4112,Normal value (A)
2009-08-18,1.4101,Normal value (A)
2009-08-17,1.4072,Normal value (A)
2009-08-14,1.4294,Normal value (A)
2009-08-13,1.4293,Normal value (A)
2009-08-12,1.4170,Normal value (A)
2009-08-11,1.4166,Normal value (A)
2009-08-10,1.4202,Normal value (A)
2009-08-07,1.4357,Normal value (A)
2009-08-06,1.4370,Normal value (A)
2009-08-05,1.4410,Normal value (A)
2009-08-04,1.4384,Normal value (A)
2009-08-03,1.4303,Normal value (A)
2009-07-31,1.4138,Normal value (A)
2009-07-30,1.4053,Normal value (A)
2009-07-29,1.4104,Normal value (A)
2009-07-28,1.4229,Normal value (A)
2009-07-27,1.4269,Normal value (A)
2009-07-24,1.4227,Normal value (A)
2009-07-23,1.4229,Normal value (A)
2009-07-22,1.4191,Normal value (A)
2009-07-21,1.4223,Normal value (A)
2009-07-20,1.4217,Normal value (A)
2009-07-17,1.4090,Normal value (A)
2009-07-16,1.4130,Normal value (A)
2009-07-15,1.4089,Normal value (A)
2009-07-14,1.3991,Normal value (A)
2009-07-13,1.3975,Normal value (A)
2009-07-10,1.3901,Normal value (A)
2009-07-09,1.3990,Normal value (A)
2009-07-08,1.3901,Normal value (A)
2009-07-07,1.4019,Normal value (A)
2009-07-06,1.3897,Normal value (A)
2009-07-03,1.4009,Normal value (A)
2009-07-02,1.4049,Normal value (A)
2009-07-01,1.4096,Normal value (A)
2009-06-30,1.4134,Normal value (A)
2009-06-29,1.4058,Normal value (A)
2009-06-26,1.4096,Normal value (A)
2009-06-25,1.3940,Normal value (A)
2009-06-24,1.4029,Normal value (A)
2009-06-23,1.3978,Normal value (A)
2009-06-22,1.3858,Normal value (A)
2009-06-19,1.3932,Normal value (A)
2009-06-18,1.3920,Normal value (A)
2009-06-17,1.3840,Normal value (A)
2009-06-16,1.3890,Normal value (A)
2009-06-15,1.3850,Normal value (A)
2009-06-12,1.4004,Normal value (A)
2009-06-11,1.3969,Normal value (A)
2009-06-10,1.4102,Normal value (A)
2009-06-09,1.3959,Normal value (A)
2009-06-08,1.3866,Normal value (A)
2009-06-05,1.4177,Normal value (A)
2009-06-04,1.4095,Normal value (A)
2009-06-03,1.4207,Normal value (A)
2009-06-02,1.4238,Normal value (A)
2009-06-01,1.4220,Normal value (A)
2009-05-29,1.4098,Normal value (A)
2009-05-28,1.3856,Normal value (A)
2009-05-27,1.3901,Normal value (A)
2009-05-26,1.3908,Normal value (A)
2009-05-25,1.4010,Normal value (A)
2009-05-22,1.3972,Normal value (A)
2009-05-21,1.3771,Normal value (A)
2009-05-20,1.3690,Normal value (A)
2009-05-19,1.3612,Normal value (A)
2009-05-18,1.3494,Normal value (A)
2009-05-15,1.3518,Normal value (A)
2009-05-14,1.3563,Normal value (A)
2009-05-13,1.3623,Normal value (A)
2009-05-12,1.3683,Normal value (A)
2009-05-11,1.3574,Normal value (A)
2009-05-08,1.3425,Normal value (A)
2009-05-07,1.3363,Normal value (A)
2009-05-06,1.3322,Normal value (A)
2009-05-05,1.3403,Normal value (A)
2009-05-04,1.3223,Normal value (A)
2009-05-01,-,Missing value; holiday or weekend (H)
2009-04-30,1.3275,Normal value (A)
2009-04-29,1.3266,Normal value (A)
2009-04-28,1.2992,Normal value (A)
2009-04-27,1.3125,Normal value (A)
2009-04-24,1.3232,Normal value (A)
2009-04-23,1.3050,Normal value (A)
2009-04-22,1.2947,Normal value (A)
2009-04-21,1.2932,Normal value (A)
2009-04-20,1.2966,Normal value (A)
2009-04-17,1.3058,Normal value (A)
2009-04-16,1.3196,Normal value (A)
2009-04-15,1.3173,Normal value (A)
2009-04-14,1.3276,Normal value (A)
2009-04-13,-,Missing value; holiday or weekend (H)
2009-04-10,-,Missing value; holiday or weekend (H)
2009-04-09,1.3273,Normal value (A)
2009-04-08,1.3231,Normal value (A)
2009-04-07,1.3255,Normal value (A)
2009-04-06,1.3496,Normal value (A)
2009-04-03,1.3425,Normal value (A)
2009-04-02,1.3392,Normal value (A)
2009-04-01,1.3246,Normal value (A)
2009-03-31,1.3308,Normal value (A)
2009-03-30,1.3193,Normal value (A)
2009-03-27,1.3295,Normal value (A)
2009-03-26,1.3607,Normal value (A)
2009-03-25,1.3494,Normal value (A)
2009-03-24,1.3507,Normal value (A)
2009-03-23,1.3558,Normal value (A)
2009-03-20,1.3549,Normal value (A)
2009-03-19,1.3671,Normal value (A)
2009-03-18,1.3130,Normal value (A)
2009-03-17,1.2942,Normal value (A)
2009-03-16,1.3042,Normal value (A)
2009-03-13,1.2905,Normal value (A)
2009-03-12,1.2782,Normal value (A)
2009-03-11,1.2786,Normal value (A)
2009-03-10,1.2783,Normal value (A)
2009-03-09,1.2565,Normal value (A)
2009-03-06,1.2658,Normal value (A)
2009-03-05,1.2555,Normal value (A)
2009-03-04,1.2555,Normal value (A)
2009-03-03,1.2615,Normal value (A)
2009-03-02,1.2596,Normal value (A)
2009-02-27,1.2644,Normal value (A)
2009-02-26,1.2782,Normal value (A)
2009-02-25,1.2795,Normal value (A)
2009-02-24,1.2763,Normal value (A)
2009-02-23,1.2798,Normal value (A)
2009-02-20,1.2591,Normal value (A)
2009-02-19,1.2705,Normal value (A)
2009-02-18,1.2596,Normal value (A)
2009-02-17,1.2634,Normal value (A)
2009-02-16,1.2765,Normal value (A)
2009-02-13,1.2823,Normal value (A)
2009-02-12,1.2833,Normal value (A)
2009-02-11,1.2938,Normal value (A)
2009-02-10,1.2967,Normal value (A)
2009-02-09,1.3008,Normal value (A)
2009-02-06,1.2796,Normal value (A)
2009-02-05,1.2829,Normal value (A)
2009-02-04,1.2818,Normal value (A)
2009-02-03,1.2849,Normal value (A)
2009-02-02,1.2760,Normal value (A)
2009-01-30,1.2816,Normal value (A)
2009-01-29,1.3111,Normal value (A)
2009-01-28,1.3260,Normal value (A)
2009-01-27,1.3174,Normal value (A)
2009-01-26,1.2990,Normal value (A)
2009-01-23,1.2795,Normal value (A)
2009-01-22,1.2984,Normal value (A)
2009-01-21,1.2910,Normal value (A)
2009-01-20,1.2930,Normal value (A)
2009-01-19,1.3182,Normal value (A)
2009-01-16,1.3270,Normal value (A)
2009-01-15,1.3085,Normal value (A)
2009-01-14,1.3173,Normal value (A)
2009-01-13,1.3262,Normal value (A)
2009-01-12,1.3394,Normal value (A)
2009-01-09,1.3684,Normal value (A)
2009-01-08,1.3617,Normal value (A)
2009-01-07,1.3595,Normal value (A)
2009-01-06,1.3332,Normal value (A)
2009-01-05,1.3582,Normal value (A)
2009-01-02,1.3866,Normal value (A)
2009-01-01,-,Missing value; holiday or weekend (H)
2008-12-31,1.3917,Normal value (A)
2008-12-30,1.4098,Normal value (A)
2008-12-29,1.4270,Normal value (A)
2008-12-26,-,Missing value; holiday or weekend (H)
2008-12-25,-,Missing value; holiday or weekend (H)
2008-12-24,1.4005,Normal value (A)
2008-12-23,1.3978,Normal value (A)
2008-12-22,1.3970,Normal value (A)
2008-12-19,1.3940,Normal value (A)
2008-12-18,1.4616,Normal value (A)
2008-12-17,1.4059,Normal value (A)
2008-12-16,1.3690,Normal value (A)
2008-12-15,1.3510,Normal value (A)
2008-12-12,1.3340,Normal value (A)
2008-12-11,1.3215,Normal value (A)
2008-12-10,1.2925,Normal value (A)
2008-12-09,1.2838,Normal value (A)
2008-12-08,1.2854,Normal value (A)
2008-12-05,1.2665,Normal value (A)
2008-12-04,1.2620,Normal value (A)
2008-12-03,1.2623,Normal value (A)
2008-12-02,1.2697,Normal value (A)
2008-12-01,1.2608,Normal value (A)
2008-11-28,1.2727,Normal value (A)
2008-11-27,1.2900,Normal value (A)
2008-11-26,1.2935,Normal value (A)
2008-11-25,1.2811,Normal value (A)
2008-11-24,1.2773,Normal value (A)
2008-11-21,1.2602,Normal value (A)
2008-11-20,1.2542,Normal value (A)
2008-11-19,1.2634,Normal value (A)
2008-11-18,1.2653,Normal value (A)
2008-11-17,1.2660,Normal value (A)
2008-11-14,1.2675,Normal value (A)
2008-11-13,1.2525,Normal value (A)
2008-11-12,1.2530,Normal value (A)
2008-11-11,1.2747,Normal value (A)
2008-11-10,1.2891,Normal value (A)
2008-11-07,1.2756,Normal value (A)
2008-11-06,1.2770,Normal value (A)
2008-11-05,1.2870,Normal value (A)
2008-11-04,1.2820,Normal value (A)
2008-11-03,1.2822,Normal value (A)
2008-10-31,1.2757,Normal value (A)
2008-10-30,1.3035,Normal value (A)
2008-10-29,1.2770,Normal value (A)
2008-10-28,1.2526,Normal value (A)
2008-10-27,1.2460,Normal value (A)
2008-10-24,1.2596,Normal value (A)
2008-10-23,1.2810,Normal value (A)
2008-10-22,1.2843,Normal value (A)
2008-10-21,1.3184,Normal value (A)
2008-10-20,1.3424,Normal value (A)
2008-10-17,1.3404,Normal value (A)
2008-10-16,1.3507,Normal value (A)
2008-10-15,1.3625,Normal value (A)
2008-10-14,1.3752,Normal value (A)
2008-10-13,1.3639,Normal value (A)
2008-10-10,1.3579,Normal value (A)
2008-10-09,1.3682,Normal value (A)
2008-10-08,1.3731,Normal value (A)
2008-10-07,1.3632,Normal value (A)
2008-10-06,1.3634,Normal value (A)
2008-10-03,1.3834,Normal value (A)
2008-10-02,1.3903,Normal value (A)
2008-10-01,1.4081,Normal value (A)
2008-09-30,1.4303,Normal value (A)
2008-09-29,1.4349,Normal value (A)
2008-09-26,1.4640,Normal value (A)
2008-09-25,1.4700,Normal value (A)
2008-09-24,1.4690,Normal value (A)
2008-09-23,1.4731,Normal value (A)
2008-09-22,1.4571,Normal value (A)
2008-09-19,1.4236,Normal value (A)
2008-09-18,1.4502,Normal value (A)
2008-09-17,1.4224,Normal value (A)
2008-09-16,1.4267,Normal value (A)
2008-09-15,1.4151,Normal value (A)
2008-09-12,1.4066,Normal value (A)
2008-09-11,1.3934,Normal value (A)
2008-09-10,1.4094,Normal value (A)
2008-09-09,1.4144,Normal value (A)
2008-09-08,1.4214,Normal value (A)
2008-09-05,1.4247,Normal value (A)
2008-09-04,1.4488,Normal value (A)
2008-09-03,1.4441,Normal value (A)
2008-09-02,1.4516,Normal value (A)
2008-09-01,1.4621,Normal value (A)
2008-08-29,1.4735,Normal value (A)
2008-08-28,1.4771,Normal value (A)
2008-08-27,1.4767,Normal value (A)
2008-08-26,1.4598,Normal value (A)
2008-08-25,1.4767,Normal value (A)
2008-08-22,1.4808,Normal value (A)
2008-08-21,1.4814,Normal value (A)
2008-08-20,1.4734,Normal value (A)
2008-08-19,1.4677,Normal value (A)
2008-08-18,1.4704,Normal value (A)
2008-08-15,1.4729,Normal value (A)
2008-08-14,1.4907,Normal value (A)
2008-08-13,1.4903,Normal value (A)
2008-08-12,1.4907,Normal value (A)
2008-08-11,1.5012,Normal value (A)
2008-08-08,1.5074,Normal value (A)
2008-08-07,1.5471,Normal value (A)
2008-08-06,1.5478,Normal value (A)
2008-08-05,1.5487,Normal value (A)
2008-08-04,1.5566,Normal value (A)
2008-08-01,1.5574,Normal value (A)
2008-07-31,1.5611,Normal value (A)
2008-07-30,1.5589,Normal value (A)
2008-07-29,1.5705,Normal value (A)
2008-07-28,1.5746,Normal value (A)
2008-07-25,1.5734,Normal value (A)
2008-07-24,1.5677,Normal value (A)
2008-07-23,1.5741,Normal value (A)
2008-07-22,1.5919,Normal value (A)
2008-07-21,1.5858,Normal value (A)
2008-07-18,1.5816,Normal value (A)
2008-07-17,1.5849,Normal value (A)
2008-07-16,1.5888,Normal value (A)
2008-07-15,1.5990,Normal value (A)
2008-07-14,1.5847,Normal value (A)
2008-07-11,1.5835,Normal value (A)
2008-07-10,1.5708,Normal value (A)
2008-07-09,1.5715,Normal value (A)
2008-07-08,1.5687,Normal value (A)
2008-07-07,1.5651,Normal value (A)
2008-07-04,1.5671,Normal value (A)
2008-07-03,1.5885,Normal value (A)
2008-07-02,1.5806,Normal value (A)
2008-07-01,1.5775,Normal value (A)
2008-06-30,1.5764,Normal value (A)
2008-06-27,1.5748,Normal value (A)
2008-06-26,1.5731,Normal value (A)
2008-06-25,1.5599,Normal value (A)
2008-06-24,1.5568,Normal value (A)
2008-06-23,1.5521,Normal value (A)
2008-06-20,1.5610,Normal value (A)
2008-06-19,1.5481,Normal value (A)
2008-06-18,1.5493,Normal value (A)
2008-06-17,1.5477,Normal value (A)
2008-06-16,1.5459,Normal value (A)
2008-06-13,1.5336,Normal value (A)
2008-06-12,1.5417,Normal value (A)
2008-06-11,1.5515,Normal value (A)
2008-06-10,1.5526,Normal value (A)
2008-06-09,1.5784,Normal value (A)
2008-06-06,1.5597,Normal value (A)
2008-06-05,1.5402,Normal value (A)
2008-06-04,1.5466,Normal value (A)
2008-06-03,1.5593,Normal value (A)
2008-06-02,1.5521,Normal value (A)
2008-05-30,1.5508,Normal value (A)
2008-05-29,1.5551,Normal value (A)
2008-05-28,1.5656,Normal value (A)
2008-05-27,1.5760,Normal value (A)
2008-05-26,1.5761,Normal value (A)
2008-05-23,1.5742,Normal value (A)
2008-05-22,1.5755,Normal value (A)
2008-05-21,1.5753,Normal value (A)
2008-05-20,1.5639,Normal value (A)
2008-05-19,1.5577,Normal value (A)
2008-05-16,1.5498,Normal value (A)
2008-05-15,1.5474,Normal value (A)
2008-05-14,1.5439,Normal value (A)
2008-05-13,1.5473,Normal value (A)
2008-05-12,1.5430,Normal value (A)
2008-05-09,1.5458,Normal value (A)
2008-05-08,1.5347,Normal value (A)
2008-05-07,1.5430,Normal value (A)
2008-05-06,1.5528,Normal value (A)
2008-05-05,1.5460,Normal value (A)
2008-05-02,1.5458,Normal value (A)
2008-05-01,-,Missing value; holiday or weekend (H)
2008-04-30,1.5540,Normal value (A)
2008-04-29,1.5571,Normal value (A)
2008-04-28,1.5628,Normal value (A)
2008-04-25,1.5596,Normal value (A)
2008-04-24,1.5769,Normal value (A)
2008-04-23,1.5940,Normal value (A)
2008-04-22,1.5931,Normal value (A)
2008-04-21,1.5898,Normal value (A)
2008-04-18,1.5780,Normal value (A)
2008-04-17,1.5872,Normal value (A)
2008-04-16,1.5928,Normal value (A)
2008-04-15,1.5828,Normal value (A)
2008-04-14,1.5869,Normal value (A)
2008-04-11,1.5833,Normal value (A)
2008-04-10,1.5875,Normal value (A)
2008-04-09,1.5726,Normal value (A)
2008-04-08,1.5694,Normal value (A)
2008-04-07,1.5693,Normal value (A)
2008-04-04,1.5722,Normal value (A)
2008-04-03,1.5526,Normal value (A)
2008-04-02,1.5632,Normal value (A)
2008-04-01,1.5660,Normal value (A)
2008-03-31,1.5812,Normal value (A)
2008-03-28,1.5796,Normal value (A)
2008-03-27,1.5786,Normal value (A)
2008-03-26,1.5710,Normal value (A)
2008-03-25,1.5569,Normal value (A)
2008-03-24,-,Missing value; holiday or weekend (H)
2008-03-21,-,Missing value; holiday or weekend (H)
2008-03-20,1.5423,Normal value (A)
2008-03-19,1.5692,Normal value (A)
2008-03-18,1.5771,Normal value (A)
2008-03-17,1.5770,Normal value (A)
2008-03-14,1.5561,Normal value (A)
2008-03-13,1.5577,Normal value (A)
2008-03-12,1.5477,Normal value (A)
2008-03-11,1.5379,Normal value (A)
2008-03-10,1.5340,Normal value (A)
2008-03-07,1.5417,Normal value (A)
2008-03-06,1.5319,Normal value (A)
2008-03-05,1.5196,Normal value (A)
2008-03-04,1.5206,Normal value (A)
2008-03-03,1.5203,Normal value (A)
2008-02-29,1.5167,Normal value (A)
2008-02-28,1.5121,Normal value (A)
2008-02-27,1.5044,Normal value (A)
2008-02-26,1.4874,Normal value (A)
2008-02-25,1.4817,Normal value (A)
2008-02-22,1.4848,Normal value (A)
2008-02-21,1.4736,Normal value (A)
2008-02-20,1.4656,Normal value (A)
2008-02-19,1.4742,Normal value (A)
2008-02-18,1.4636,Normal value (A)
2008-02-15,1.4674,Normal value (A)
2008-02-14,1.4626,Normal value (A)
2008-02-13,1.4586,Normal value (A)
2008-02-12,1.4538,Normal value (A)
2008-02-11,1.4542,Normal value (A)
2008-02-08,1.4513,Normal value (A)
2008-02-07,1.4569,Normal value (A)
2008-02-06,1.4621,Normal value (A)
2008-02-05,1.4688,Normal value (A)
2008-02-04,1.4829,Normal value (A)
2008-02-01,1.4889,Normal value (A)
2008-01-31,1.4870,Normal value (A)
2008-01-30,1.4810,Normal value (A)
2008-01-29,1.4773,Normal value (A)
2008-01-28,1.4755,Normal value (A)
2008-01-25,1.4705,Normal value (A)
2008-01-24,1.4663,Normal value (A)
2008-01-23,1.4574,Normal value (A)
2008-01-22,1.4494,Normal value (A)
2008-01-21,1.4482,Normal value (A)
2008-01-18,1.4674,Normal value (A)
2008-01-17,1.4691,Normal value (A)
2008-01-16,1.4792,Normal value (A)
2008-01-15,1.4886,Normal value (A)
2008-01-14,1.4895,Normal value (A)
2008-01-11,1.4792,Normal value (A)
2008-01-10,1.4662,Normal value (A)
2008-01-09,1.4680,Normal value (A)
2008-01-08,1.4705,Normal value (A)
2008-01-07,1.4723,Normal value (A)
2008-01-04,1.4727,Normal value (A)
2008-01-03,1.4753,Normal value (A)
2008-01-02,1.4688,Normal value (A)
2008-01-01,-,Missing value; holiday or weekend (H)
2007-12-31,1.4721,Normal value (A)
2007-12-28,1.4692,Normal value (A)
2007-12-27,1.4516,Normal value (A)
2007-12-26,-,Missing value; holiday or weekend (H)
2007-12-25,-,Missing value; holiday or weekend (H)
2007-12-24,1.4398,Normal value (A)
2007-12-21,1.4380,Normal value (A)
2007-12-20,1.4349,Normal value (A)
2007-12-19,1.4385,Normal value (A)
2007-12-18,1.4416,Normal value (A)
2007-12-17,1.4393,Normal value (A)
2007-12-14,1.4509,Normal value (A)
2007-12-13,1.4683,Normal value (A)
2007-12-12,1.4675,Normal value (A)
2007-12-11,1.4672,Normal value (A)
2007-12-10,1.4718,Normal value (A)
2007-12-07,1.4649,Normal value (A)
2007-12-06,1.4554,Normal value (A)
2007-12-05,1.4720,Normal value (A)
2007-12-04,1.4741,Normal value (A)
2007-12-03,1.4666,Normal value (A)
2007-11-30,1.4761,Normal value (A)
2007-11-29,1.4738,Normal value (A)
2007-11-28,1.4747,Normal value (A)
2007-11-27,1.4874,Normal value (A)
2007-11-26,1.4845,Normal value (A)
2007-11-23,1.4809,Normal value (A)
2007-11-22,1.4829,Normal value (A)
2007-11-21,1.4814,Normal value (A)
2007-11-20,1.4785,Normal value (A)
2007-11-19,1.4654,Normal value (A)
2007-11-16,1.4651,Normal value (A)
2007-11-15,1.4639,Normal value (A)
2007-11-14,1.4700,Normal value (A)
2007-11-13,1.4607,Normal value (A)
2007-11-12,1.4579,Normal value (A)
2007-11-09,1.4683,Normal value (A)
2007-11-08,1.4666,Normal value (A)
2007-11-07,1.4722,Normal value (A)
2007-11-06,1.4547,Normal value (A)
2007-11-05,1.4488,Normal value (A)
2007-11-02,1.4479,Normal value (A)
2007-11-01,1.4423,Normal value (A)
2007-10-31,1.4447,Normal value (A)
2007-10-30,1.4407,Normal value (A)
2007-10-29,1.4391,Normal value (A)
2007-10-26,1.4384,Normal value (A)
2007-10-25,1.4309,Normal value (A)
2007-10-24,1.4230,Normal value (A)
2007-10-23,1.4254,Normal value (A)
2007-10-22,1.4166,Normal value (A)
2007-10-19,1.4288,Normal value (A)
2007-10-18,1.4299,Normal value (A)
2007-10-17,1.4200,Normal value (A)
2007-10-16,1.4150,Normal value (A)
2007-10-15,1.4226,Normal value (A)
2007-10-12,1.4173,Normal value (A)
2007-10-11,1.4199,Normal value (A)
2007-10-10,1.4146,Normal value (A)
2007-10-09,1.4037,Normal value (A)
2007-10-08,1.4089,Normal value (A)
2007-10-05,1.4136,Normal value (A)
2007-10-04,1.4109,Normal value (A)
2007-10-03,1.4195,Normal value (A)
2007-10-02,1.4165,Normal value (A)
2007-10-01,1.4232,Normal value (A)
2007-09-28,1.4179,Normal value (A)
2007-09-27,1.4180,Normal value (A)
2007-09-26,1.4127,Normal value (A)
2007-09-25,1.4106,Normal value (A)
2007-09-24,1.4113,Normal value (A)
2007-09-21,1.4049,Normal value (A)
2007-09-20,1.4030,Normal value (A)
2007-09-19,1.3975,Normal value (A)
2007-09-18,1.3867,Normal value (A)
2007-09-17,1.3877,Normal value (A)
2007-09-14,1.3860,Normal value (A)
2007-09-13,1.3897,Normal value (A)
2007-09-12,1.3885,Normal value (A)
2007-09-11,1.3824,Normal value (A)
2007-09-10,1.3795,Normal value (A)
2007-09-07,1.3696,Normal value (A)
2007-09-06,1.3669,Normal value (A)
2007-09-05,1.3588,Normal value (A)
2007-09-04,1.3580,Normal value (A)
2007-09-03,1.3632,Normal value (A)
2007-08-31,1.3705,Normal value (A)
2007-08-30,1.3610,Normal value (A)
2007-08-29,1.3631,Normal value (A)
2007-08-28,1.3664,Normal value (A)
2007-08-27,1.3658,Normal value (A)
2007-08-24,1.3615,Normal value (A)
2007-08-23,1.3574,Normal value (A)
2007-08-22,1.3493,Normal value (A)
2007-08-21,1.3508,Normal value (A)
2007-08-20,1.3476,Normal value (A)
2007-08-17,1.3454,Normal value (A)
2007-08-16,1.3405,Normal value (A)
2007-08-15,1.3476,Normal value (A)
2007-08-14,1.3591,Normal value (A)
2007-08-13,1.3651,Normal value (A)
2007-08-10,1.3650,Normal value (A)
2007-08-09,1.3729,Normal value (A)
2007-08-08,1.3794,Normal value (A)
2007-08-07,1.3794,Normal value (A)
2007-08-06,1.3818,Normal value (A)
2007-08-03,1.3694,Normal value (A)
2007-08-02,1.3664,Normal value (A)
2007-08-01,1.3663,Normal value (A)
2007-07-31,1.3707,Normal value (A)
2007-07-30,1.3659,Normal value (A)
2007-07-27,1.3651,Normal value (A)
2007-07-26,1.3722,Normal value (A)
2007-07-25,1.3743,Normal value (A)
2007-07-24,1.3833,Normal value (A)
2007-07-23,1.3821,Normal value (A)
2007-07-20,1.3803,Normal value (A)
2007-07-19,1.3820,Normal value (A)
2007-07-18,1.3779,Normal value (A)
2007-07-17,1.3771,Normal value (A)
2007-07-16,1.3781,Normal value (A)
2007-07-13,1.3782,Normal value (A)
2007-07-12,1.3788,Normal value (A)
2007-07-11,1.3753,Normal value (A)
2007-07-10,1.3666,Normal value (A)
2007-07-09,1.3621,Normal value (A)
2007-07-06,1.3596,Normal value (A)
2007-07-05,1.3640,Normal value (A)
2007-07-04,1.3618,Normal value (A)
2007-07-03,1.3601,Normal value (A)
2007-07-02,1.3588,Normal value (A)
2007-06-29,1.3505,Normal value (A)
2007-06-28,1.3467,Normal value (A)
2007-06-27,1.3438,Normal value (A)
2007-06-26,1.3460,Normal value (A)
2007-06-25,1.3461,Normal value (A)
2007-06-22,1.3441,Normal value (A)
2007-06-21,1.3397,Normal value (A)
2007-06-20,1.3427,Normal value (A)
2007-06-19,1.3403,Normal value (A)
2007-06-18,1.3404,Normal value (A)
2007-06-15,1.3314,Normal value (A)
2007-06-14,1.3304,Normal value (A)
2007-06-13,1.3287,Normal value (A)
2007-06-12,1.3345,Normal value (A)
2007-06-11,1.3355,Normal value (A)
2007-06-08,1.3349,Normal value (A)
2007-06-07,1.3470,Normal value (A)
2007-06-06,1.3513,Normal value (A)
2007-06-05,1.3532,Normal value (A)
2007-06-04,1.3482,Normal value (A)
2007-06-01,1.3436,Normal value (A)
2007-05-31,1.3453,Normal value (A)
2007-05-30,1.3420,Normal value (A)
2007-05-29,1.3509,Normal value (A)
2007-05-28,1.3453,Normal value (A)
2007-05-25,1.3441,Normal value (A)
2007-05-24,1.3448,Normal value (A)
2007-05-23,1.3490,Normal value (A)
2007-05-22,1.3454,Normal value (A)
2007-05-21,1.3444,Normal value (A)
2007-05-18,1.3477,Normal value (A)
2007-05-17,1.3516,Normal value (A)
2007-05-16,1.3574,Normal value (A)
2007-05-15,1.3538,Normal value (A)
2007-05-14,1.3549,Normal value (A)
2007-05-11,1.3486,Normal value (A)
2007-05-10,1.3527,Normal value (A)
2007-05-09,1.3535,Normal value (A)
2007-05-08,1.3558,Normal value (A)
2007-05-07,1.3615,Normal value (A)
2007-05-04,1.3561,Normal value (A)
2007-05-03,1.3613,Normal value (A)
2007-05-02,1.3588,Normal value (A)
2007-05-01,-,Missing value; holiday or weekend (H)
2007-04-30,1.3605,Normal value (A)
2007-04-27,1.3643,Normal value (A)
2007-04-26,1.3596,Normal value (A)
2007-04-25,1.3649,Normal value (A)
2007-04-24,1.3582,Normal value (A)
2007-04-23,1.3557,Normal value (A)
2007-04-20,1.3606,Normal value (A)
2007-04-19,1.3601,Normal value (A)
2007-04-18,1.3577,Normal value (A)
2007-04-17,1.3549,Normal value (A)
2007-04-16,1.3550,Normal value (A)
2007-04-13,1.3532,Normal value (A)
2007-04-12,1.3467,Normal value (A)
2007-04-11,1.3418,Normal value (A)
2007-04-10,1.3426,Normal value (A)
2007-04-09,-,Missing value; holiday or weekend (H)
2007-04-06,-,Missing value; holiday or weekend (H)
2007-04-05,1.3373,Normal value (A)
2007-04-04,1.3352,Normal value (A)
2007-04-03,1.3358,Normal value (A)
2007-04-02,1.3366,Normal value (A)
