Date,Value
1997-06-30,2.72999996609158
1997-05-31,2.72999996609158
1997-04-30,2.72999996609158
1997-03-31,2.76000001695421
1997-02-28,2.94444444444444
1997-01-31,3.0
1996-12-31,2.93999989827475
1996-11-30,2.93999989827475
1996-10-31,2.93999989827475
1996-09-30,2.68999989827474
1996-08-31,2.68999989827474
1996-07-31,2.68999989827474
1996-06-30,2.68999989827474
1996-05-31,2.68999989827474
1996-04-30,2.68999989827474
1996-03-31,2.68000009324816
1996-02-29,2.68000009324816
1996-01-31,2.68000009324816
1995-12-31,2.68999989827474
1995-11-30,2.68999989827474
1995-10-31,2.82499991522894
1995-09-30,2.76944435967339
1995-08-31,2.76944435967339
1995-07-31,2.76944435967339
1995-06-30,2.68999989827474
1995-05-31,2.68999989827474
1995-04-30,2.68999989827474
1995-03-31,2.58999994066026
1995-02-28,2.58999994066026
1995-01-31,2.58999994066026
1994-12-31,2.43999989827474
1994-11-30,2.43999989827474
1994-10-31,2.43999989827474
1994-09-30,2.34999995761447
1994-08-31,2.34999995761447
1994-07-31,2.34999995761447
1994-06-30,2.23999998304579
1994-05-31,2.23999998304579
1994-04-30,2.23999998304579
1994-03-31,2.21999994913737
1994-02-28,2.21999994913737
1994-01-31,2.21999994913737
1993-12-31,2.54000006781684
1993-11-30,2.54000006781684
1993-10-31,2.54000006781684
1993-09-30,2.55000008477105
1993-08-31,2.55000008477105
1993-07-31,2.55000008477105
1993-06-30,2.59999995761447
1993-05-31,2.59999995761447
1993-04-30,2.60999997456869
1993-03-31,2.69999991522895
1993-02-28,2.69999991522895
1993-01-31,2.69999991522895
1992-12-31,2.3500001695421
1992-11-30,2.3500001695421
1992-10-31,2.3500001695421
1992-09-30,2.39000023735894
1992-08-31,2.39000023735894
1992-07-31,2.39000023735894
1992-06-30,2.33999972873264
1992-05-31,2.33999972873264
1992-04-30,2.33999972873264
1992-03-31,2.37999979654948
1992-02-29,2.37999979654948
1992-01-31,2.37999979654948
1991-12-31,2.54000006781684
1991-11-30,2.54000006781684
1991-10-31,2.54000006781684
1991-09-30,3.12000020345053
1991-08-31,3.12000020345053
1991-07-31,3.12000020345053
1991-06-30,3.41000027126736
1991-05-31,3.41000027126736
1991-04-30,3.41000027126736
1991-03-31,2.95999993218317
1991-02-28,2.95999993218317
1991-01-31,2.95999993218317
1990-12-31,2.37999979654948
1990-11-30,2.37999979654948
1990-10-31,2.37999979654948
1990-09-30,1.91999986436632
1990-08-31,1.91999986436632
1990-07-31,1.91999986436632
1990-06-30,2.10999976264106
1990-05-31,2.10999976264106
1990-04-30,2.10999976264106
1990-03-31,1.72999996609158
1990-02-28,1.72999996609158
1990-01-31,1.72999996609158
1989-12-31,1.66111108991835
