Date,oil_eur_mwh,gas_eur_mwh,coal_eur_mwh
2017-11-18,31.283958427306725,17.04196093231584,12.014099742984058
2017-11-19,31.283958427306725,17.04196093231584,12.014099742984058
2017-11-20,31.32113484849188,17.062212816965058,12.230647657466129
2017-11-21,31.489528046602054,17.153945143937985,12.289625214752638
2017-11-22,31.406442220621567,17.108684074956617,12.169309306893332
2017-11-23,31.144014994098818,16.965726637125698,12.20841344999728
2017-11-24,31.06797083860258,16.92430152367309,12.325737294820486
2017-11-25,31.06797083860258,16.92430152367309,12.325737294820486
2017-11-26,31.06797083860258,16.92430152367309,12.325737294820486
2017-11-27,30.873016202316165,16.818099832384984,12.208516661124547
2017-11-28,31.039223557375742,16.908641419638737,12.300968899588558
2017-11-29,31.199314251296425,16.995850950931366,12.492020141617717
2017-11-30,31.141386585372842,19.406781921059636,12.428604228043755
2017-12-01,31.868906909168313,19.347998231605857,12.390957635514553
2017-12-02,31.868906909168313,19.347998231605857,12.390957635514553
2017-12-03,31.868906909168313,19.347998231605857,12.390957635514553
2017-12-04,31.922626094855904,19.38061179794653,12.525652917186708
2017-12-05,31.971128438884556,19.410058156717785,12.517864836487893
2017-12-06,32.05229403532753,19.45933477046929,12.623584189335673
2017-12-07,32.13659923769433,19.51051747689085,12.629829222877264
2017-12-08,32.257022535808666,19.58362791540075,12.771862734351062
2017-12-09,32.257022535808666,19.58362791540075,12.771862734351062
2017-12-10,32.257022535808666,19.58362791540075,12.771862734351062
2017-12-11,32.10935559642806,19.493977533285488,12.753798147132287
2017-12-12,32.19122544751532,19.543681708536084,12.867328265954193
2017-12-13,32.27351385612349,19.5936399951121,12.859610911758244
2017-12-14,31.976526687671196,19.413335498745088,12.754686131926452
2017-12-15,32.08215810735773,19.477465609235608,12.803548112722844
2017-12-16,32.08215810735773,19.477465609235608,12.803548112722844
2017-12-17,32.08215810735773,19.477465609235608,12.803548112722844
2017-12-18,32.112077881769,19.495630265590133,12.808754322396679
2017-12-19,32.03602796375416,19.44945944198897,12.744827734245419
2017-12-20,31.976526687671196,19.413335498745088,12.721156462809924
2017-12-21,31.938777183191277,19.39041731871453,12.699440637140276
2017-12-22,31.95494462291954,19.40023276661061,12.705869106204887
2017-12-23,31.95494462291954,19.40023276661061,12.705869106204887
2017-12-24,31.95494462291954,19.40023276661061,12.705869106204887
2017-12-25,31.95494462291954,19.40023276661061,12.705869106204887
2017-12-26,31.95494462291954,19.40023276661061,12.705869106204887
2017-12-27,31.842115058046687,19.3317325752531,12.661006012261163
2017-12-28,31.738055858510588,19.268556978601943,12.619630175619786
2017-12-29,31.581919337569026,19.17376461124286,12.557547445663849
2017-12-30,31.581919337569026,19.17376461124286,12.557547445663849
2017-12-31,31.581919337569026,20.5255508508804,12.557547445663849
2018-01-01,33.89279148422042,20.5255508508804,12.557547445663849
2018-01-02,33.690530316639496,20.40306103229247,12.726203282463109
2018-01-03,33.80822159779219,20.47433513720441,12.744233174612758
2018-01-04,33.690530316639496,20.40306103229247,12.660366741943381
2018-01-05,33.74647142135787,20.436939091291705,12.694577693135825
2018-01-06,33.74647142135787,20.436939091291705,12.694577693135825
2018-01-07,33.74647142135787,20.436939091291705,12.694577693135825
2018-01-08,33.94940685461083,20.5598372466891,12.797453892789541
2018-01-09,34.06606170551923,20.63048368711101,12.794828440781917
2018-01-10,33.895617767699754,20.5272624545204,12.67119803870717
2018-01-11,33.8251017949784,20.48455782263532,12.61178729712001
2018-01-12,33.490668886071965,20.28202449984416,12.506726811230312
2018-01-13,33.490668886071965,20.28202449984416,12.506726811230312
2018-01-14,33.490668886071965,20.28202449984416,12.506726811230312
2018-01-15,33.108760142563774,20.050739704700543,12.357637168833204
2018-01-16,33.23599740558098,20.1277948777276,12.385643185883406
2018-01-17,33.309534398939235,20.17232904651386,12.393519692284107
2018-01-18,33.222415060911764,20.119569379207896,12.335136384176112
2018-01-19,33.16819651328074,20.086734504660026,12.340931930227903
2018-01-20,33.16819651328074,20.086734504660026,12.340931930227903
2018-01-21,33.16819651328074,20.086734504660026,12.340931930227903
2018-01-22,33.2115571754437,20.112993819316006,12.136403307156078
2018-01-23,33.1844434868361,20.096573708434043,12.042193391828032
2018-01-24,32.907727353485704,19.928993794900308,11.896762010487551
2018-01-25,32.76184801082095,19.84064893645592,11.844023885995185
2018-01-26,32.6854493623557,19.7943817428923,11.80362984731973
2018-01-27,32.6854493623557,19.7943817428923,11.80362984731973
2018-01-28,32.6854493623557,19.7943817428923,11.80362984731973
2018-01-29,32.835951875777965,19.88552640395901,11.703980766942317
2018-01-30,32.72492136464499,19.818286076371358,11.619640561228533
2018-01-31,32.63034825963358,18.208451879825216,11.42664853155602
2018-02-01,30.849336997340952,18.205528940282743,11.188922439242516
2018-02-02,30.76784259124807,18.15743556411965,11.242026728330464
2018-02-03,30.76784259124807,18.15743556411965,11.242026728330464
2018-02-04,30.76784259124807,18.15743556411965,11.242026728330464
2018-02-05,30.896454151918885,18.233334812458416,11.142159711346626
2018-02-06,31.174619973223365,18.39749250279688,11.01698063868564
2018-02-07,31.151879530707642,18.384072383448107,11.028258198473532
2018-02-08,31.370542739950285,18.51311500709947,10.84634167542315
2018-02-09,31.31686544853507,18.481437714249385,10.646564670043755
2018-02-10,31.31686544853507,18.481437714249385,10.646564670043755
2018-02-11,31.31686544853507,18.481437714249385,10.646564670043755
2018-02-12,31.34240313543757,18.49650860857724,10.681155943895885
2018-02-13,31.16450901239527,18.391525587203656,10.878155094906123
2018-02-14,31.12665125120432,18.36918408381784,10.942133804593604
2018-02-15,30.765379784669086,18.15598215536562,10.796059622245311
2018-02-16,30.836961621459476,18.198225695361256,10.853043308038826
2018-02-17,30.836961621459476,18.198225695361256,10.853043308038826
2018-02-18,30.836961621459476,18.198225695361256,10.853043308038826
2018-02-19,30.971143404502087,18.277412173004247,10.906669103749634
2018-02-20,31.146830603717255,18.381092793110437,11.123024833453986
2018-02-21,31.217664851354037,18.42289514839041,11.032192519034702
2018-02-22,31.30921225561021,18.47692123386956,11.226307343416545
2018-02-23,31.25066181395812,18.442368084151777,11.179479779106702
2018-02-24,31.25066181395812,18.442368084151777,11.179479779106702
2018-02-25,31.25066181395812,18.442368084151777,11.179479779106702
2018-02-26,31.1973936404116,18.410932229462883,10.74779119240764
2018-02-27,31.245580818622138,18.439369568895437,10.62233055812105
2018-02-28,31.468142267060006,21.88808866167957,10.658973102883962
2018-03-01,31.917737753803163,21.96541902175288,10.481262717615813
2018-03-02,31.55220810603787,21.71386573373573,10.348325614346003
2018-03-03,31.55220810603787,21.71386573373573,10.348325614346003
2018-03-04,31.55220810603787,21.71386573373573,10.348325614346003
2018-03-05,31.565026911638768,21.72268748791373,10.552609923951941
2018-03-06,31.30052261715722,21.540658682922757,10.547384058807362
2018-03-07,31.28539793843427,21.530250053455287,10.497508339445826
2018-03-08,31.275322937085445,21.52331655371985,10.442968099331972
2018-03-09,31.606117175293978,21.750965333476064,10.59219733777762
2018-03-10,31.606117175293978,21.750965333476064,10.59219733777762
2018-03-11,31.606117175293978,21.750965333476064,10.59219733777762
2018-03-12,31.577856137338507,21.73151641308359,10.492330716363682
2018-03-13,31.383970447692544,21.598086517511256,10.549834901382289
2018-03-14,31.406806225364885,21.61380183634524,10.390543291272268
2018-03-15,31.478063868530775,21.662840524572918,10.356190251560914
2018-03-16,31.58042323400848,21.73328305940609,10.280091336491616
2018-03-17,31.58042323400848,21.73328305940609,10.280091336491616
2018-03-18,31.58042323400848,21.73328305940609,10.280091336491616
2018-03-19,31.55989813969764,21.71915792621288,10.144347047480897
2018-03-20,31.644736575557047,21.77754275934786,10.456318540035237
2018-03-21,31.61897983082682,21.75981726467153,10.383155505136097
2018-03-22,31.541960555500022,21.70681348763838,10.274020405677204
2018-03-23,31.465315584119416,21.654067302264245,10.113945229826857
2018-03-24,31.465315584119416,21.654067302264245,10.113945229826857
2018-03-25,31.465315584119416,21.654067302264245,10.113945229826857
2018-03-26,31.30052261715722,21.540658682922757,9.977774118738274
2018-03-27,31.389042194694433,21.601576835306588,10.089428555869617
2018-03-28,31.33334297479741,21.563245274540595,10.065118246596656
2018-03-29,31.529160474112352,21.69800461924798,10.23116992123189
2018-03-30,31.529160474112352,21.69800461924798,10.23116992123189
2018-03-31,31.529160474112352,23.572565122239105,10.23116992123189
2018-04-01,34.43756076625631,23.572565122239105,10.23116992123189
2018-04-02,34.43756076625631,23.572565122239105,10.23116992123189
2018-04-03,34.47393453047157,23.597463021701984,10.429132791474862
2018-04-04,34.563798159094496,23.658974818434995,10.385143104428563
2018-04-05,34.6089058891553,23.689851131411743,10.508838263808718
2018-04-06,34.682457593676965,23.740197390151053,10.59609898444216
2018-04-07,34.682457593676965,23.740197390151053,10.59609898444216
2018-04-08,34.682457593676965,23.740197390151053,10.59609898444216
2018-04-09,34.48514192141125,23.60513449862712,10.710121359018672
2018-04-10,34.32612136566977,23.49628467527773,10.673586018415971
2018-04-11,34.26236968677681,23.452646549669574,10.724317378968617
2018-04-12,34.43197161413974,23.56873933872499,10.745174672601
2018-04-13,34.44874451579476,23.58022041658748,10.743960031202814
2018-04-14,34.44874451579476,23.58022041658748,10.743960031202814
2018-04-15,34.44874451579476,23.58022041658748,10.743960031202814
2018-04-16,34.30114682304317,23.479189561124333,10.762140142740142
2018-04-17,34.33723283977049,23.503890496974023,10.509911008665252
2018-04-18,34.25130660324863,23.44507385139716,10.599026677796532
2018-04-19,34.26790390898434,23.456434733573577,10.738879825021925
2018-04-20,34.471133820866356,23.5955459315223,10.834833773995182
2018-04-21,34.471133820866356,23.5955459315223,10.834833773995182
2018-04-22,34.471133820866356,23.5955459315223,10.834833773995182
2018-04-23,34.6711216049227,23.73243788781729,10.956108432696533
2018-04-24,34.742093359620405,23.78101816679833,10.854962012833557
2018-04-25,34.82192746828429,23.835664741166028,10.964650330941147
2018-04-26,34.870577432695924,23.86896571919033,10.979969122494893
2018-04-27,35.15370225360762,24.06276510945385,11.134928098085199
2018-04-28,35.15370225360762,24.06276510945385,11.134928098085199
2018-04-29,35.15370225360762,24.06276510945385,11.134928098085199
2018-04-30,35.12750941311731,19.94418135384521,11.205543801434967
2018-05-01,37.49987067843254,19.94418135384521,11.218695848150265
2018-05-02,37.724738729473366,20.063776678029168,11.259506954714654
2018-05-03,37.77192611113965,20.088873129844583,11.286838190254583
2018-05-04,37.84450981074331,20.12747652879073,11.315163786754951
2018-05-05,37.84450981074331,20.12747652879073,11.315163786754951
2018-05-06,37.84450981074331,20.12747652879073,11.315163786754951
2018-05-07,38.05754813684984,20.240780253158817,11.378860306139305
2018-05-08,38.16014641320865,20.29534680481013,11.61029056004899
2018-05-09,38.13123477774112,20.27997024775623,11.648301325931548
2018-05-10,38.13444501808274,20.28167760339251,11.78302804962804
2018-05-11,37.95550007749176,20.18650633258725,11.774327943392091
2018-05-12,37.95550007749176,20.18650633258725,11.774327943392091
2018-05-13,37.95550007749176,20.18650633258725,11.774327943392091
2018-05-14,37.78452935642198,20.0955761238819,11.880313025002536
2018-05-15,38.11839921945525,20.27314369882153,11.965235814635973
2018-05-16,38.43864035342725,20.44346287959065,12.092721005589569
2018-05-17,38.37026157770323,20.407095855408404,12.138495738351372
2018-05-18,38.448428649926726,20.44866875249098,12.082315657210199
2018-05-19,38.448428649926726,20.44866875249098,12.082315657210199
2018-05-20,38.448428649926726,20.44866875249098,12.082315657210199
2018-05-21,38.520362099225,20.486926317977403,12.598033943838592
2018-05-22,38.4060486624374,20.426129097261,12.560647884144311
2018-05-23,38.688156638604944,20.57616728502701,12.496869667274156
2018-05-24,38.62218092810255,20.541078323081194,12.516195496356426
2018-05-25,38.797510743022414,20.634326901335868,12.457353354769875
2018-05-26,38.797510743022414,20.634326901335868,12.457353354769875
2018-05-27,38.797510743022414,20.634326901335868,12.457353354769875
